"","tags","description"
"169","5-plus-years-experience-needed full-time-job bs-degree-needed","*Description:* Responsible for the day-to-day sales and marketing activities in a given territory or with a specific customer in order to meet customer expectations, grow sales volume, and meet financial objectives.  Assist in the development and implementation of sales strategies capable of achieving sales volume and revenue requirements      * Develop market analysis, understanding current issues and implement TCCA strategies in response     * Develop analysis on competition and provide evaluation on pricing of all products in the region     * Identify new products that will increase sales volume with existing customers     * Identify new markets and potential sales and profits     * Identify potential new customers or new divisions of existing customers that allow for profitable growth  Assist in the development of sales forecast by market and product to drive production planning     * Develop and monitor sales plan by customer     * Development of sales forecast for annual budget     * Reforecast on a monthly basis    Accountable for developing and delivering sales volume objectives for each customer that help achieve corporate objectives      * Present annual customer review of Tillamook products sales performance     * Develop advertising programs and sales promotions     * Analyze sale reports (e.g. spending vs. sales by broker, InfoScan/IRI reports, TCCA sales analysis     * Sales calls and presentations   Accountable for developing and delivering net selling price objectives for each product category that help achieve the corporate net earnings      * Responsible for promotional allowances for each customer to maintain profitability for each customer     * Review, process, and approve deductions and claims for the region.     * Maintain and monitor aging report, updating status on cleared MERs versus deductions still to be processed.   Meet customer service levels yielding “customer delight”      * Monitor order fulfillment, warehousing, and transportation activities for all Tillamook products     * Regularly communicate with Director of Sales and accounting departments on all sales and A/R information     * Responsible for providing management reporting and billings for the region     * Responsible for setting, standardizing, and monitoring key measures to improve customer satisfaction   Responsible for broker network of TCCA products in a given territory or customer base      * Set clear vision and strategic direction and objectives     * Responsible for setting, standardizing, and monitoring key measures to improve performance     * Conduct annual reviews of broker’s performance     * Maintain, monitor, and distribute all forms of paperwork (new item authorization sheets, sample requests, etc.) between the broker and TCCA     * Responsible for developing and distributing a monthly newsletter based on broker reports   Conduct retail store audits by region or customer by monitoring pricing compared to competitors (Every Day Price and Advertised or Promoted Price) and by monitoring number of facings and visual appeal of display.  QUALIFICATIONS  * Education and Experience:  * Bachelor’s degree in Marketing or Business Management.  * 5+ years of sales and broker management experience.  * Demonstrated experience calling on customers at their corporate or regional headquarters.  * Job Knowledge, Skills and Abilities:  * Ability to establish and maintain effective relationships with employees, supervisors and the general public.  * Ability to communicate effectively.  * Must be computer literate with basic knowledge of Microsoft Word, Excel, Outlook, SharePoint and Demantra.  * Must be a team player and be able to interact with staff at all levels of the company.  * Must be able to work under pressure, meet deadlines, and be flexible in working on multiple projects simultaneously.  * Excellent time-management skills with the ability to work independently with little supervision.  * Physical Requirements:  Overnight travel is required.  Fulltime role with excellent benefits.  This role will be located near Ohio; city to be determined.  Tillamook County Creamery Association is a Drug-Free Workplace and an Equal Opportunity Employer, which includes disabled veterans, recently separated veterans, other protected veterans, and armed forces service medal veterans."
"180","bs-degree-needed supervising-job full-time-job","The Associate Marketing Manager, guided by the company vision, mission, and values, is responsible for delivering and analyzing Internet Marketing Initiatives that produce qualified traffic and grow revenue through effective brand building and customer engagement initiatives.  The successful candidate will have strong interpersonal skills, be highly organized and able to work in a fast paced environment.    *Key Areas:*    • Email Campaigns:  Develop Email schedules, messages and content.  Using history and current trends to identify what the customer wants to hear about.  Master email deployment systems and manage 3rd party relationships.  • Paid Marketing:  Partner with 3rd party agencies to formulate strategies to reach existing and new customers in order to drive qualified traffic to Southmoonunder.com while maintaining Ad Spend goals.  • Analytics:  Develop and effectively manage Marketing reports, drawing insight in to emerging trends and market shifts relative to prior year and new initiatives.  • Events / Sweeps:  What's the buzz?  Developing ways of attracting engagement with our core audience in order to create a holistic representation of who we are as a lifestyle brand.  • New Business Development:  Search out and develop new marketing channels, manage the necessary 3rd party relationships and evaluate near and long-term potential.  • Budget Management:  Oversee and account for the Internet Marketing budgets.  • Effectively interface with other department teams in order to develop sound marketing strategies to support the above responsibilities.  • Advocate new methods of outreach to develop customer engagement, brand development and positioning.    *Skills / Experience:*     • Bachelor’s degree or higher, Marketing or Communications focus  • 2+ years Internet Marketing, preferably in fashion retail  • Organization, Prioritization, Task Management  • Microsoft Office Suite – Excel, Outlook, etc    IF you meet the criteria please forward a cover letter and resume.  Please, no phone calls.    _The above information outlines the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. No Visa Sponsorship available for this position._    _South Moon Under is an Equal Opportunity Employer committed to providing a diverse workplace._"
"181","hourly-wage full-time-job","Desktop Engineer that has strong Packaging and deployment exp. that can do a 1 yr long contract at an Investment firm in Downtown Boston. Hourly rate is $70-75 per hour.     The role is as follows:     •Create application deployment packages to automate the deployment of COTS software to the enterprise, integrating corporate standards while maintaining vendor supportability - Specifically Windows 7  •Continually refine the packaging template to improve the overall software deployment process  •Work with members of the Desktop Engineering team, business analysts, support staff, pilot users, and vendors to determine business and technical requirements, obtain vendor-supported methods of customization, and to gather feedback regarding user acceptance testing    Requirements:  •Expert knowledge of WiseScript and Microsoft Installer (MSI)  •Advanced knowledge of VBScript or Batch.  •Experience w/ Windows 7 x64 related issues, including UAC, Active Setup  •Full knowledge of OS operations, registry, DLLs, etc.  •Proficiency w/ standard packaging and troubleshooting tools   •Experience w/ developing shims using Application Compatibility Toolkit desired  •Experience w/ Microsoft SCCM or SMS desired    "
"182","salary supervising-job full-time-job 5-plus-years-experience-needed bs-degree-needed","We are the leading manufacturer of RF and microwave laboratory devices, calibration standards and system component. We maintain a state of the art microwave laboratory with the latest test equipment supporting our test and calibration operations.  We offer competitive salaries and a robust benefit packet that includes affordable medical, dental, vision, 401k, life insurance, short-term and long-term disability insurance. We also offer various training programs, education reimbursement as well as growth opportunities within the organization.      Summary:  The Quality Assurance Manager’s primary mission is to help the company meet its business and quality objectives. Quality Assurance Manager will develop, implement and manage a quality control program consistent with world class manufacturing standards that meet or exceed the expectations of our customers and will ensure that the company’s products continue to be the industry benchmark for quality and performance. The Quality Assurance Manager will manage the Quality System certification process (AS 9100 and ISO 9001) and ensure continued compliance to those Quality System Standards.      Essential Duties:  • Drive effectiveness of our Quality Policy by promoting continuous quality improvement, i.e., process evaluations and improvements that result in achievement of our business objectives.  • Responsible for maintaining the Quality System; AS 9100 / ISO 9001 Certification.  • Ensure the Integrity of Document and Data Control; and Specifications and Standards (internal and external) Libraries throughout the company..  • Review customer complaints.  • Perform trend analysis on returned goods, warranty repairs, complaints, manufacturing, inspection, receiving inspection and vendor quality.  • Manage the corrective and preventative action system.  • Supervise Inspection team, including Calibration/Metrology Coordinator(s)    • Plan and implement innovative quality monitoring processes; develop and maintain metrics to ensure fabricated parts and finished products shipped meet high standards and are the best in the industry.  • Ensure applicable quality/calibration standards and mil specs are met.  • Coordinate with Manufacturing/Methods Engineering Departments to develop and execute:  • New quality processes and inspection methods  • Training and Certification programs   • Manage Supplier Quality:  • Coordinate with appropriate Engineering & Manufacturing personnel to ensure new suppliers meet quality standards.  • Monitor supplier on-time and quality performance.  Issue SCARs as warranted (coordinate with Mfg. & Eng. as required).     • Participate in Risk Management. Perform and manage FMEA   • Prepare for and conduct quality audits with customer, third party representatives and internal processes.  • Complete, submit & maintain Customer Quality/Calibration surveys.  • Identify, advise, coordinate, administrate & document Regulatory compliance (RoHs, CE, other).  • Audit and ensure ESD control and records with ESD Control Officer.  • Audit and ensure Hazmat control and records with Hazmat Control Officer.    Requirements:     • Bachelor’s degree preferred; technical discipline preferred.  • 10 years experience in Quality Assurance in a high-technology manufacturing environment, including at least 5 years at the Manager level and familiarity with production processes; Microwave or RF test and measurement experience desirable.  • Proven ability to achieve results and improve quality systems.  • Experience with managing AS9100 ISO 9001 quality systems, certification process and audits.  • Strong leadership and management skills, willing to lead by example.  • Relevant industry certifications and memberships are desirable.  • Effective interpersonal skills – MUST be personable as well as assertive and decisive.  • Excellent presentation and communication skills; verbal and written.  • Proficiency with ERP/MRP systems.  • Proficiency with Microsoft Office® programs."
"183","full-time-job","Oklahoma Educators Credit Union is now accepting applications for a full-time teller position at our Northwest office.      Qualifications  • Strong member service skills  • Previous cash handling experience  • Problem solving skills  • Detail-oriented and organized  • Ability to multi-task  • High school education or GED  • Flexible Schedule     EEO  "
"190","2-4-years-experience-needed salary supervising-job full-time-job","Regional Manager - Greater Cleveland This is a multi-unit management role for a full service, casual dining concept with 6 locations in the Cleveland area.  You will lead this group of restaurants in the areas of staffing, guest service, sales and profits, and sanitation.  You will report directly to the Vice President of Operations for this group. This a great opportunity for someone who wants to be able to have an impact on this highly successful organizaion.   You *must* have at least 3 years of current multi-unit level management experience with a high volume casual dining chain. You will not be considered for this position if you don't have the multi-unit restaurant experience. Must be in a casual dining setting with a full bar.  Compensation: $75,000-$85,000 base plus bonuses plus benefits plus car allowance.   Immediate local interviews! "
"193","full-time-job","Livengrin Foundation is a comprehensive behavioral health program specializing in the treatment of alcohol and drug addiction. Livengrin’s mission is to empower the individual to embrace recovery and break the cycle of addiction by providing comprehensive, integrated and holistic treatment services. In 1966 Livengrin Foundation began as one of Pennsylvania’s first non-profit treatment centers. Since then more than 100,000 people have come through its doors to begin a journey to recovery. Livengrin’s programs have grown with the emerging needs of the marketplace. The original location in Bensalem, just north of Philadelphia, served the rapidly-expanding “commuter communities” of the metropolitan area. Over the past two decades, the Foundation has expanded into a network of counseling centers throughout Bucks, Montgomery, Delaware, Lehigh and Philadelphia counties.  Livengrin is seeking a full-time (evening schedule) Administrative Assistant at its Fort Washington Counseling Center. This candidate must be detail-oriented, able to manage multiple tasks and possess strong organizational skills. Computer skills, including knowledge of Microsoft Word and Excel are required.  Livengrin Foundation offers an excellent benefit package that includes medical insurance, paid time off, retirement plan, life insurance and LTD/STD, etc."
"194","full-time-job 1-year-experience-needed","*Position Summary:* Immediate opening for a Full-time pharmacy data entry technician at our Long Term Care pharmacy to enter physician orders for patients residing in Long Term Care or Assisted Living Facilities.   *Essential functions:*  •       Working under direct supervision of a Registered Pharmacist to enter physician orders into computer system accurately and efficiently in a timely manner • Assist in completing customer service requests • Follow all applicable board of pharmacy regulations, including HIPAA • Other duties as assigned; such as prescription filling, generating refill requests, etc  *Minimum Qualifications:* • High School Diploma or equivalent • 1+ years experience in a long-term care, retail pharmacy or assisting living  • Order entry and insurance billing experience required • Must be able to work rotating shifts including; days, evenings and weekends • Must be able to learn data entry skills such as; abbreviations, brand and generic medication names for interpreting physician orders for filling  ***PLEASE NOTE: IF YOU DO NOT HAVE EXPERIENCE IN PHARMACY ENTERING PHYSICIAN ORDERS INTO PATIENT PROFILES, YOU WILL NOT BE CONSIDERED FOR THIS POSITION***  If you have pharmacy experience we would love to hear from you! Please reply with resume."
"197","salary supervising-job 2-4-years-experience-needed full-time-job","*Position:* Heavy-wheel/Diesel Engine Mechanics - Military-Experienced Only  *Discipline:* Mechanic Industry Type: Full-time, Technicians and Supervisory  *Locations:* Baton Rouge *Salary Range:* Industry Competitive  *Principal Duties/Responsibilities:* Maintain large fleet of heavy-wheeled vehicles for major company.  *Job Requirements (education, skills, certifications, licenses):*  - 4+ years recent military experience maintaining military tactical vehicles - Associate's or Bachelor's degree in a related technical discipline preferred, or the equivalent combination of education, technical certifications or training, or work/military experience. - Excellent verbal and written communication skills - Excellent customer service skills - Previous experience with diesel engines, diesel generators, pumps/compressors, and electrical systems - Computer work and data entry knowledge - Prefer ability to supply your own complete set of master mechanic hand tools and impact wrenches - Successfully pass pre-employment (post offer) drug screen, background and motor vehicle records check - Valid driver's license and good motor vehicle record - CDL a plus - Must be Honorably Discharged   For prompt consideration, submit your resume today."
"198","2-4-years-experience-needed part-time-job","Mayo Group in South Boston, MA is looking for a junior, part-time Human Resources Representative with 2 to 5 years of HR experience. Candidates must have ADP Payroll and TotalSource experience to be considered. This position does not offer relocation. HR Professional experience is a requirement for this position. Candidate must have employee relations experience.     Job Purpose:  Supports management plans and actions by advising managers and employees; maintaining human resources records and services; recommending program improvements.    Duties:  * Helps managers accomplish organization plans by interpreting human resources policies and procedures; identifying and evaluating human resources options and actions; warning against inappropriate actions.    * Supports human resources actions by identifying and explaining request and documentation requirements; processing or forwarding actions; maintaining records and databases.    * Improves organization morale by identifying problems with human resources programs; surveying managers, employees, and other organizations; recommending program innovations and improvements.    * Resolves disagreements by interviewing people involved; identifying issues; exploring options; mediating settlements; providing counseling referrals; referring problems to appropriate staff person.    * Provides management planning and control information by collecting, analyzing, and summarizing employee manager and satisfaction data and trends.    * Maintains management and employee confidence by keeping human resources information confidential.    * Updates job knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.    * Accomplishes human resources and organization mission by completing related results as needed    *Assists with the processing of Payroll with ADP EZ Labor Manager and ADP TotalSource    Skills/Qualifications:  Objectivity, Verbal Communication, Maintaining Employee Files, Performance Management, Resolving Conflict, Organizational Astuteness, Managing Processes, Human Resources Management, Employment Law, Confidentiality, Analyzing Information   "
"205","full-time-job licence-needed 2-4-years-experience-needed","Are you an experienced Employee Health Nurse?  Hollywood Presbyterian Medical Center is seeking a leader for our Employee Health Department. You will be responsible for clinical operations, the provision of health services to employees and serve as the clinical liaison communicating with physicians, nurses, administration and patients.  Qualified candidates will possess an Associate Degree in Nursing with BSN preferred.  Three to five years in a healthcare setting preferred with extended background in workers' compensation.  Also, two to three years of supervisory experience preferred.  Excellent written and communication skills essential. Current California Registered Nurse License, AHA BLS and Fire Card required.   This is a full time position with healthcare, 401K, dental, and vision benefits. Please apply at: www.example.com or call recruiter at  XXX "
"208","salary full-time-job 2-4-years-experience-needed","Sales Executive- GIS - Energy Industry     Join our growing company as it solves industry mapping challenges!     General:    Strong focus on sales ability, communication and experience.    Apply your knowledge and sales ability in the energy sector throughout the United States. An energetic, driven sales professional is needed to prospect business and focus on selling map centric data solutions to large energy accounts.     Department:  Sales     Responsibilities:  • Develop and drive new accounts and expand existing accounts  • Be willing to make cold calls to new accounts  • Leverage customer relationships to understand complex customer requirements on both a business and technical level  • Conceptualize improvements within the customers technology environments     Requirements:  • Three or more years of experience selling solutions in business environments   • Demonstrated record of success in a goal oriented, highly accountable sales environment  • Experience developing new business relationships with major customers  • Knowledge of and experience with IT/GIS or competitive products is preferred  • Excellent communication skills  • Must be computer savvy     Recommended Qualifications:  • Excellent presentation and negotiation skills  • Familiarity with Microsoft Office including PowerPoint and Outlook  • Ability to travel as needed  • Experience developing new business and growing those accounts  • Experience with GIS a big plus       Employment:  Full-time     Work Location:  Lakewood, CO"
"209","2-4-years-experience-needed hourly-wage part-time-job licence-needed","The Perinatal Educator develops and delivers education and competencies to nurses and ancillary staff in the Labor & Delivery, OB and Nursery units. Assesses educational needs, develops education plan, educates, monitors and tracks employee progress and maintains records of employees' successful completion of programs offered.  *Qualifications:* Registered Nurse with current Illinois RN License.  BSN required, masters preferred.  3-5 years of Labor & Delivery nursing experience required.  Exceptional communication skills; proficient in Word/Power Point.   *Department:* Obstetric Unit *Schedule:* Part Time *Shift:* Days Primarily, See Job Details *FTE:* 0.60 *Hours:* 11a - 7p *Hours Per Pay Period (2 weeks):* 48"
"214","salary 5-plus-years-experience-needed bs-degree-needed full-time-job"," Business Process Analyst  Summary    Title:  Business Process Analyst    ID:  5756-25    Category:  Biotech, R&D, and Science    Industry:  Biotechnology and Pharmaceuticals    Category(Sub):  Business Process Analyst    Salary Range:  $95-100k    Location:  Berkeley, CA    Relocation Assistance:  No    Job Published Date:  04/02/2012   Description Senior Business Process Analyst & Validation Support  Location-Berkeley, CA  Salary $100K, Bonus, No Relocation provided and MUST BE A CITIZEN     Candidates Must Have:  Validation, IT, LIMS, SAP, 21 CFR Part 11   The Senior Business Process Analyst's primary role will be to serve as a Validation Lead for the Berkeley site.  This role will lead implementation efforts for validation for Sapphire LabVantage LIMS project including oversight of policies, procedures, and plan to support enterprise business systems validation for the LIMS system.  The Senior Business Process Analyst will lead creation and execution of validation deliverables (protocols, tests, IQ/OQ/PQ, etc) and ensure validation follows a lifecycle approach from URS development through equipment retirement.  Post implementation of the Sapphire LabVantage LIMS project, the Senior Business Process Analyst role will support key business systems at Supply Center Berkeley.  This position is responsible for ensuring effective business use of enterprise systems (SAP MES, LIMS, etc) through requirements gathering, detailed process analysis, system monitoring, troubleshooting, advanced training and project support.  Coordinate and deploy validation policies, procedures, and plan to support enterprise business systems validation with Quality oversight. Lead creation and execution validation deliverables (protocols, tests, IQ/OQ/PQ, etc). Ensure validation follows a lifecycle approach from URS development through equipment retirement. Provide validation input for periodic Quality reviews. Work closely with business stakeholders, technical support groups and QA to thoroughly investigate validation discrepancies and support best-practice for systems validation.   Qualifications  A Bachelor's Degree is required, MBA or MS in Computer or Information Systems highly preferred  8+ years experience in Pharma/Biotech  5+ years experience with SAP ERP  Prior leadership in LIMS validation  Experience leading validation of critical business systems and creating and executing validation deliverables (protocols, tests, IQ/OQ/PQ, etc). Proven experience with systems validation lifecycle (from URS development through system retirement)  Experience with SAP ERP interface to other bolt-ons and applications like MES, Web DynPro, LIMS, etc  Proven experience in overseeing design, development and implementation of software; proficiency in SDLC  Solid understanding of GMP Part 11  Understanding of continuous process improvement (Six Sigma, Lean)  Certification in business analyst profession (IIBA) highly preferred        Apply                Powered by Web Design with Joomla!      Copyright 2011 by Executive Recruiter Network "
"215","full-time-job","Full time hairstylist and aesthethician position available.  Upscale salon in the affluent town of Alamo, Ca. seeks professionals to join our team.  We provide a professional atmosphere, allowing your creative talents to emerge.  Fun salon events to assist in promoting and growing your business.  Join our team!"
"224","5-plus-years-experience-needed full-time-job bs-degree-needed salary","Job : Network Engineer Primary Location : United States-Nevada-Las Vegas/Henderson Schedule : Full-time  Travel : No   *Summery of job:* Provides network and security administration for a Microsoft Windows Server and SQL network using Microsoft Dynamics AX 2012 as the ERP and a Linux/MYSQL Magento ecommerce solution integrated with the ERP.   *Responsibilities:*  - Enterprise network security and performance strategy, solutions, and ongoing technology refresh and enhancements  - Enterprise network security design standards  - Design reviews and project engineering   *Preferred Qualifications:*  *Bachelors Degree (or equivalent experience/education) in Science, Engineering or Computers  *Extensive 5+ years experience required with network backup software and restores including virtual servers, SQL databases, etc *Experience in Technical Leadership of IT projects  *Experience in all technical aspects of Network Security Engineering  *Experience with Linux/MYSQL and Microsoft/Windows Server/SQL technologies  *2 Years experience with firewalls    Salary:  DOE  At this time, DrVita will not sponsor a non-citizen new applicant for employment authorization for this position.   All DrVita staff must submit to background check and random drug testing.  DrVita is a drug free workplace.  DrVita based in Las Vegas, NV with a Jan 2012 launch date is a new internet vitamin and natural health products company with manufacturing and was founded by Wayne Gorsek, the founder of Vitacost.com. During the 1994 - 2009 time frame Mr. Gorsek was the largest shareholder at Vitacost.com and the company became the "
"228","hourly-wage part-time-job","This position is Monday - Friday, (30 hrs per week)  Expected start date is January 19, 2015. MILITARY EXPERIENCED INDIVIDUALS ARE ENCOURAGED TO APPLY! Position is still vacant as of January 14, 2015.    Provide administrative support to a department and/or Manager. Duties include general clerical, receptionist and project based work for a United States Army Recruiting Command center directly supporting Army Recruitment Company Commander. Project a professional company image through in-person and phone interaction.  The pay rate is $11.21/hr for 30 hrs as well as $3.81/hr for Health & Welfare funds that are not paid out but have to be used for benefits.    PRIMARY RESPONSIBILITIES  Generate reports through Excel and write memos. Maintain trackers through Excel. Meet and greet clients and visitors. Create and modify documents using Microsoft Office. Perform general clerical duties to include but not limited to: photocopying, faxing, mailing, and filing. Maintain hard copy and electronic filing system. Sign for and distribute UPS/Fed Ex/Airborne packages. Maintain and distribute staff weekly schedules and calendar. Support staff in assigned project based work. Use DTS, DTMS, MEDPROS systems Other duties as assigned.  KNOWLEDGE AND SKILL REQUIREMENTS  Basic reading, writing, and arithmetic skills required. This is normally acquired through a high school diploma or equivalent. US Citizenship is required. Must be able to pass a background check.  Self initiative is a must.  Multitasking experience is required. Must have excellent organization skills. Knowledge of Microsoft Office and telephone protocol. Duties require professional verbal and written communication skills and the ability to type. This is normally acquired through one to three years of clerical experience."
"231","hourly-wage full-time-job","Repair and maintenance of water ski and wakeboard boats. I/O pleasure and fishing boats. Troubleshooting engine and run-ability issues, transmission, electrical, cooling systems, repair of all aspects of marine functions. Winterize and de-winterizing. Looking for well-rounded individual that takes pride in workmanship and productivity. 401K and medical plan included. Auto repair experience a plus.  Full-time $25.00 - $30.00 per hour - DOE"
"233","salary 2-4-years-experience-needed full-time-job bs-degree-needed supervising-job","Rapidly growing, Austin, Texas-based investment bank seeks Financial Valuation Senior Associate professional.  This position is for execution talent of IRC 409(a) and other business valuation engagements for the company’s Financial Advisory practice.   Westlake Securities is a middle market investment banking firm with offices in Austin, Dallas and Houston, Texas. The firm serves private and public companies across a broad range of industries in Texas and surrounding states. Westlake acts as an advisor to management teams and investors in these companies in matters including mergers, acquisitions and capital formation transactions ranging from $5 million to $200 million in size.   Duties: • Individual will become involved in executing and supervising client engagements within the firm’s financial advisory practice (valuations and fairness opinions) and therefore must have the capacity to interact well with clients, senior executives and external service providers • Specific tasks include overseeing and performing intensive financial analysis, writing opinions and reports, conducting presentations, applying valuation approaches and methods in a variety of financial situations, including equity valuations, 409As, option analyses etc • Execute valuations self sufficiently with minimal direction from superiors • Maintain active communication with all relevant parties during the process of the engagement • Train and manage part time staff • Ability to work additional hours and travel to client locations (as needed) • Obtain CVA (Certified Valuation Analyst) credentials within six months  Required Qualifications • Accounting or Finance degree (Masters preferred)  • 3-5 Years of business valuation experience (MUST have performed 409a and /or fairness opinions)  • Up to date on valuation theory and methodology • Very proficient with MS Excel and use of Cap IQ • Work eligibility – US permanent resident or existing work visa is required  Preferred Qualifications • Good understanding of capital structures • CFA or CPA credential is a plus • Must be detailed oriented • Willingness to train and develop the staff • Pleasant demeanor and “do whatever it takes” attitude  Organizational • Individual will report to the CFO • Compensation ranges from $70k - $75k DOE + bonus potential  • Firm pays 100% of base medical and dental premiums  • Timing is flexible • Covered parking is free • Office location is ideal and easy to get to • This is on average a 40/hr a week job if properly managed  Please note that this position is NOT for the Investment Banking Practice but for the Financial Advisory Practice of Westlake Securities.  Email your resume to careers at westlakesecurities.com by 9am (CST) Friday August 24.  No solicitation from recruiting companies and no phone calls please."
"234","full-time-job supervising-job salary","We are looking for a full time Front Desk Staff Supervisor to work at a well-established private Psychiatric practice in Sarasota, FL.  WORK HOURS:  - Monday through Friday (Saturdays optional)  - 8 am to 4 pm  REQUIRED SKILLS: - Previous supervisory experience - Mental health office experience - Excellent communications and computer skills - Highly organized - Ability to work well in teams  RESPONSIBILITIES: - Supervise 3 Front Desk Receptionists - Training and development of staff - Daily review/update appointment schedules - Occasional phone coverage  SALARY:  - Competitive + Bonus system  BENEFITS: - 2 week vacation  - 6 holidays - 401K plan"
"237","5-plus-years-experience-needed full-time-job bs-degree-needed salary","My client has retained our services to find their Principal Business Systems Analyst supporting their finance division. This role will support the development, usage, and implementation of IT and management information systems within the Oracle eBusiness Suite of applications. This position will work in tandem with the business process managers, end-users, and super-users to ensure effective deployment and engagement of the IT solutions. The incumbent will manage control processes, gathering the user requirements and communicating all IT priorities and delivery status to the business units.     Duties:     Provide Finance dept leadership leveraging the business processes and Oracle configuration and optimal usage  Work closely with Finance and IT in design, development and deployment of the organization's Oracle eBusiness suite     Our client is looking for someone who is passionate about continuously improving end user productivity, enterprise process integration and Finance shared service optimization     Requirements:     Oracle Financial eBusiness Suite - Oracle R-12 (preferred)  GL, Intercompany, AP, AR, Fixed Assets, Consolidation, Inventory and Cost Accounting  Bachelors in Computer Science, IT, IS or other 4-year degree focusing on IT  5+ years experience, preferable in IT within Manufacturing     Full-time position paying up to $135k  "
"240","full-time-job salary 2-4-years-experience-needed","COMPANY INFORMATION:  outsourceIT is an internationally ranked Managed Service Provider. We provide IT support to businesses ranging in size from 15 to 500 computers. Our services include both remote and on-site support. outsourceIT continues to grow at an extraordinary rate. We currently have seven locations; La Plata MD, Baltimore MD, Winston-Salem NC , Wilmington DE, Washington DC, Philadelphia PA, and Roanoke VA.  NOC ENGINEER POSITION DESCRIPTION: We are currently hiring a number of NOC Engineers to fill open NOC positions located within our DC office. These positions within our NOC team will afford individuals the opportunity to support a wide range of critical client systems and technologies.   Qualified candidates will be expected to demonstrate the ability to accomplish tasks independent of direct day-to-day supervision. Additionally, candidates should be comfortable working alone; many shifts will carry a number of hours where resources work not only independent of supervision, but also independent of other team members. Experience with customer service, service level management, scripting (VB, Batch Files, etc), backup systems, and/or antivirus platforms will be useful in this position.  Shifts for this position are scheduled 3 days on, then 3 days off, over a rotation period of 6 weeks. Each shift is 12 hours plus a 1-hour lunch. Shifts will also include multiple 30-minute breaks to accommodate each individual.    RESPONSIBILITIES:  • Manage the administration of multiple environments using a wide range of remote management tools    • Manage event ID monitoring for server, telecom, and any other applicable network devices  • Create, track, and monitor incident tickets using company professional services automation systems  • Respond to alerts or failures and escalate issues to various internal groups based on NOC escalation procedures  • Respond to, schedule, and complete requests from internal resources per NOC SLA • Ensure that professional support and response standards are met and maintained • Assist in developing and testing automation to further improve NOC capabilities     OPTIONAL TECHNICAL SKILLS: • Scripting (VB, Batch, etc) • Backup Applications • AntiVirus Applications • Disk Imaging Applications  • Networking Concepts • General Troubleshooting Abilities • Experience with Microsoft Technologies       Windows Server (2003, 2008, Small Business Server)        Exchange Server (2003, 2007 and 2010)       MS SQL 2005/2008 • Experience with Apple Technologies       Mac OSX          iOS • Experience with VMware or Citrix Applications • Dell, HP, and IBM Systems       Remote Access Card Use & Management       Wake-On-LAN • Cisco and SonicWall Networking Systems  CORE SKILLS: • Excellent customer service and troubleshooting ability • Minimum of 2 years of experience with technology (or equivalent school-work) • Effective verbal and written communication ability • The ability to multitask and function alone • The holding of any industry certifications would be preferred, but not required  WHAT WE PROVIDE:  If you want to advance your career quickly, outsourceIT is the right place for you. Our company provides competitive salaries, health insurance, dental, vision, vacation, retirement, bonuses and more. Please include your salary requirements, resumes received without salary requirements will not be selected for an interview.  "
"244","full-time-job associate-needed salary","Everglades Technologies www.example.com is union square based company that is a one stop shop that manages office technologies.  We are seeking an Accounting Coordinator to aid in the financial operations for our technology services company. You will work with the Accounting Manager and reports to the Business Director of the company.   Required Skills:  > Strong fundamentals in financial and managerial accounting > Accounting or a relevant degree > Ability to prepare a general ledger > Excellent communication skills > Emphasis is on accuracy, and ability to multi-task > Advanced knowledge of Microsoft Excel and Quickbooks  Good to have:  > Experience in any technology-related or telecommunications industry  Key Challenges  > Identify strategic needs and personally execute them > Manage vendor and client relationships including collections efforts > Oversee our chart of accounts > Prepare the general ledger / journal for monthly closing > Prepare reports to demonstrate the financial health of the company   This is a full-time position. Salary is $34,000. Benefits include health and dental insurance, and 401K. "
"255","full-time-job","Due to recent expansion (including the Apple Valley, CA area) we currently have several new sales territories available.  Twin Towers Trading Inc. ( www.example.com ) is the world's largest specialty promotions company and we presently trade in all 50 states and many different countries.  Our product lines which are well known and in demand include kitchen ware, jewelry and health and beauty products.  Great Opportunity For:   Dependable individuals (or teams) for in-store sales demonstrations  Live product demonstrations in high volume retail stores and clubs  Full time position  Must work weekends and holidays  Receive full training - training bonus on completion  Earn $700-$1200+/wk   W-2 position  Benefits eligible after 90 days- including health insurance and 401K  No investment required  Work as a team with a spouse, or partner (optional)  Proof of valid driver's license and registered vehicle required  Please call example@example.com Ext 702 Mon.- Fri.  10am - 6pm Eastern time. PLEASE:  Reference \Apple Valley, CA\ when responding (please make sure your reference location) "
